V0000278412	メアリーさん、週末はたいてい何をしますか。	メアリーさん、しゅうまつはたいていなにをしますか 
V0000278746	ミラーさんは「来週東京へ出張します」と言いました。	"ミラーさんは「らいしゅうとうきょうへしゅっちょうします」といいました 
V0000278747	ミラーさんは来週東京へ出張すると言いました。	ミラーさんはらいしゅとうきょうへしゅっちょうするといいました 
V0000278748	あしたパーティーに行くでしょう。	あしたパーティーにいくでしょう 
V0000278749	北海道は寒かったでしょう。 いいえ、そんないに寒くなかったです。	ほっかいどはさむかったでしょう いいえ、そんないにさむくなかったです 
V0000278750	東京で日本とブラジルのサッカーの試合があります。	とうきょうでにほんとブラジルのサッカーのしあいがあります 
V0000278751	会議で何か意見を言いましたか。	かいぎでなにかいけんをいいましたか 
V0000278752	ちょっとビールでも飲みませんか。	ちょっとビールでものみませんか 
V0000278753	ミラーさんが住んでいた家に猫がいました。	ミラーさんがすんでいたうちにねこがいました 
V0000278754	これはミラーさんが作ったケーキです。	これはミラーさんがつくったケーキです 
V0000278755	私はカリナさんがかいた絵が好きです。	わたしわカリナさんがかいたえがすきです 
V0000278756	私は朝ごはんを食べる時間がありません。	わたしはあさごはんをたべるじかんがありません 
V0000278757	私は友達と映画を見る約束があります。	わたしはともだちとえいがをみるやくそくがあります 
V0000278758	今日は市役所へ行く用事があります。	きょうはしやくしょへいくようじがあります 
V0000278759	図書館で本を借りるとき、カードが要ります。	としょかんでほんをかりるとき、カードがいります 
V0000278760	使い方が、わからないとき、わたしに聞いてください。	つかいかたが、わからないとき、わたしにきいてください 
V0000278761	体の調子が悪いとき「元気茶」を飲みます。	"からだのちょうしがわるいとき、「げんきちゃ」をのみます 
V0000278762	暇なとき、家へ遊びに来ませんか。	ひまなとき、うちへあそびにきませんか 
V0000278763	妻が病気のとき、会社を休みます。	つまがびょうきのとき、かいしゃをやすみます 
V0000278764	若いとき、あまり勉強しませんでした。	わかいとき、あまりべんきょうしませんでした 
V0000278765	子どものとき、よく川で泳ぎました。	こどものとき、よくかわでおよぎました 
V0000278766	国へ帰るとき、かばんを買いました。	くにへかえるとき、かばんをかいました 
V0000278767	このボタンを押すと、お釣りが出ます。	このボタンをおすと、おつりがでます 
V0000278768	これを回すと、音が大きくなります。	これをまわすと、おとがおおきくなります 
V0000278769	右へ曲がると、郵便局があります。	みぎへまがると、ゆうびんきょくがあります 
V0000278770	音が小さいです。	おとがちいさいです 
V0000278771	電気が明るくなりました。	でんきがあかるくなりました 
V0000278772	道を渡ります。	みちをわたります 
V0000278773	交差点を左へ曲がります。	こうさてんをひだりへまがります 
V0000278774	食事の前に、手を洗います。	しょくじのまえに、てをあらいます 
V0000278775	田中さんは一時間前に、出かけました。	たなかさんはいちじかんまえに、でかけました 
V0000278776	日本ではなかなか馬を見ることができません。	にほんではなかなかうまをみることができません 
V0000278777	ここに荷物を置かないでください。	こにににもつをおかないでください 
V0000278778	荷物はここに置かないでください。	にもつはここにおかないでください 
V0000278779	会社の食堂で昼ごはんを食べました。	かいしゃのしょくどうでひるごはんをたべました 
V0000278780	佐藤さんは妹にお菓子をくれました。	さとうさんはいもうとにおかしをくれました 
V0000278781	タクシーを呼びましょうか。	タクシーをよびましょうか 
V0000278782	手伝いましょうか。	てつだいましょうか 
V0000278783	私は山田さんに図書館の電話番号を教えてもらいました。	わたしはやまださんにとしょかんのでんわばんごうをおしえてもらいました 
V0000278784	だれが手伝いに行きますか。	だれがてつだいにいきますか 
V0000278785	お金があったら、旅行します。	おかねがあったら、りょこうします 
V0000278786	時間がなかったら、テレビを見ません。	じかんがなかったら、テレビをみません 
V0000278787	安かったら、パソコンを買いたいです。	やすかったら、パソコンをかいたいです 
